# Sample Raman spectrum data - Stable polymer
# Wavenumber (cm^-1)  Intensity
200.0  1542.3
205.0  1543.1
210.0  1544.8
215.0  1546.2
220.0  1547.9
225.0  1549.1
230.0  1550.4
235.0  1551.8
240.0  1553.2
245.0  1554.6
250.0  1556.0
255.0  1557.4
260.0  1558.8
265.0  1560.2
270.0  1561.6
275.0  1563.0
280.0  1564.4
285.0  1565.8
290.0  1567.2
295.0  1568.6
300.0  1570.0
305.0  1571.4
310.0  1572.8
315.0  1574.2
320.0  1575.6
325.0  1577.0
330.0  1578.4
335.0  1579.8
340.0  1581.2
345.0  1582.6
350.0  1584.0
