# Sample Raman spectrum data - Weathered polymer
# Wavenumber (cm^-1)  Intensity
200.0  1342.1
205.0  1343.5
210.0  1345.2
215.0  1346.8
220.0  1348.4
225.0  1349.9
230.0  1351.5
235.0  1353.1
240.0  1354.7
245.0  1356.3
250.0  1357.9
255.0  1359.5
260.0  1361.1
265.0  1362.7
270.0  1364.3
275.0  1365.9
280.0  1367.5
285.0  1369.1
290.0  1370.7
295.0  1372.3
300.0  1373.9
305.0  1375.5
310.0  1377.1
315.0  1378.7
320.0  1380.3
325.0  1381.9
330.0  1383.5
335.0  1385.1
340.0  1386.7
345.0  1388.3
350.0  1389.9
