2025-09-20 17:02:27,354 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.004, 'preprocessing_time': 0.0392, 'total_time': 0.0472, 'memory_usage_mb': 1.96, 'spectrum_length': 380, 'timestamp': '2025-09-20T21:02:27.354203'}
2025-09-20 17:02:46,716 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0019, 'preprocessing_time': 0.001, 'total_time': 0.0039, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-20T21:02:46.716974'}
2025-09-20 17:02:54,689 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.016, 'total_time': 0.016, 'memory_usage_mb': 0.01, 'spectrum_length': 1414, 'timestamp': '2025-09-20T21:02:54.689539'}
2025-09-20 17:02:54,863 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0646, 'preprocessing_time': 0.0, 'total_time': 0.0666, 'memory_usage_mb': 3.05, 'spectrum_length': 1414, 'timestamp': '2025-09-20T21:02:54.863084'}
2025-09-20 17:04:17,064 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.001, 'preprocessing_time': 0.0011, 'total_time': 0.0021, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-20T21:04:17.064042'}
2025-09-20 17:04:43,054 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0037, 'preprocessing_time': 0.0, 'total_time': 0.0037, 'memory_usage_mb': 0.26, 'spectrum_length': 1414, 'timestamp': '2025-09-20T21:04:43.054958'}
2025-09-20 17:04:48,371 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-20T21:04:48.371222'}
2025-09-20 17:04:56,204 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0025, 'preprocessing_time': 0.0157, 'total_time': 0.0182, 'memory_usage_mb': 0.0, 'spectrum_length': 1413, 'timestamp': '2025-09-20T21:04:56.204118'}
2025-09-20 17:05:02,667 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-20T21:05:02.667466'}
2025-09-20 17:26:17,507 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.0103, 'total_time': 0.0123, 'memory_usage_mb': 1.56, 'spectrum_length': 380, 'timestamp': '2025-09-20T21:26:17.507673'}
2025-09-20 17:52:35,889 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0511, 'preprocessing_time': 0.0, 'total_time': 0.0511, 'memory_usage_mb': 2.5, 'spectrum_length': 1414, 'timestamp': '2025-09-20T21:52:35.889062'}
2025-09-20 17:52:42,983 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0159, 'total_time': 0.0159, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-20T21:52:42.983517'}
2025-09-20 17:52:43,102 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.002, 'preprocessing_time': 0.0066, 'total_time': 0.0086, 'memory_usage_mb': 0.06, 'spectrum_length': 1414, 'timestamp': '2025-09-20T21:52:43.102599'}
2025-09-20 18:19:57,972 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.002, 'total_time': 0.002, 'memory_usage_mb': 1.46, 'spectrum_length': 380, 'timestamp': '2025-09-20T22:19:57.972986'}
2025-09-20 18:20:29,689 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.001, 'preprocessing_time': 0.001, 'total_time': 0.003, 'memory_usage_mb': 0.01, 'spectrum_length': 1414, 'timestamp': '2025-09-20T22:20:29.689744'}
2025-09-20 18:20:42,857 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-20T22:20:42.857454'}
2025-09-20 18:20:55,095 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0097, 'preprocessing_time': 0.0, 'total_time': 0.0097, 'memory_usage_mb': 0.0, 'spectrum_length': 3351, 'timestamp': '2025-09-20T22:20:55.095485'}
2025-09-20 18:21:06,686 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.0, 'spectrum_length': 3351, 'timestamp': '2025-09-20T22:21:06.686496'}
