# Sample FTIR spectrum data - Stable polymer
# Wavenumber (cm^-1)  Absorbance
400.0  0.045
450.0  0.048
500.0  0.052
550.0  0.056
600.0  0.061
650.0  0.065
700.0  0.070
750.0  0.075
800.0  0.082
850.0  0.089
900.0  0.096
950.0  0.104
1000.0  0.112
1050.0  0.121
1100.0  0.130
1150.0  0.140
1200.0  0.151
1250.0  0.162
1300.0  0.174
1350.0  0.187
1400.0  0.200
1450.0  0.215
1500.0  0.230
1550.0  0.246
1600.0  0.263
1650.0  0.281
1700.0  0.300
1750.0  0.320
1800.0  0.341
1850.0  0.363
1900.0  0.386
1950.0  0.410
2000.0  0.435
2050.0  0.461
2100.0  0.488
2150.0  0.516
2200.0  0.545
2250.0  0.575
2300.0  0.606
2350.0  0.638
2400.0  0.671
2450.0  0.705
2500.0  0.740
2550.0  0.776
2600.0  0.813
2650.0  0.851
2700.0  0.890
2750.0  0.930
2800.0  0.971
2850.0  1.013
2900.0  1.056
2950.0  1.100
3000.0  1.145
3050.0  1.191
3100.0  1.238
3150.0  1.286
3200.0  1.335
3250.0  1.385
3300.0  1.436
3350.0  1.488
3400.0  1.541
3450.0  1.595
3500.0  1.650
3550.0  1.706
3600.0  1.763
3650.0  1.821
3700.0  1.880
3750.0  1.940
3800.0  2.001
3850.0  2.063
3900.0  2.126
3950.0  2.190
4000.0  2.255
