# Sample FTIR spectrum data - Weathered polymer
# Wavenumber (cm^-1)  Absorbance
400.0  0.062
450.0  0.069
500.0  0.077
550.0  0.086
600.0  0.095
650.0  0.105
700.0  0.116
750.0  0.128
800.0  0.141
850.0  0.155
900.0  0.170
950.0  0.186
1000.0  0.203
1050.0  0.221
1100.0  0.240
1150.0  0.260
1200.0  0.281
1250.0  0.303
1300.0  0.326
1350.0  0.350
1400.0  0.375
1450.0  0.401
1500.0  0.428
1550.0  0.456
1600.0  0.485
1650.0  0.515
1700.0  0.546
1750.0  0.578
1800.0  0.611
1850.0  0.645
1900.0  0.680
1950.0  0.716
2000.0  0.753
2050.0  0.791
2100.0  0.830
2150.0  0.870
2200.0  0.911
2250.0  0.953
2300.0  0.996
2350.0  1.040
2400.0  1.085
2450.0  1.131
2500.0  1.178
2550.0  1.226
2600.0  1.275
2650.0  1.325
2700.0  1.376
2750.0  1.428
2800.0  1.481
2850.0  1.535
2900.0  1.590
2950.0  1.646
3000.0  1.703
3050.0  1.761
3100.0  1.820
3150.0  1.880
3200.0  1.941
3250.0  2.003
3300.0  2.066
3350.0  2.130
3400.0  2.195
3450.0  2.261
3500.0  2.328
3550.0  2.396
3600.0  2.465
3650.0  2.535
3700.0  2.606
3750.0  2.678
3800.0  2.751
3850.0  2.825
3900.0  2.900
3950.0  2.976
4000.0  3.053
