2025-09-23 23:39:06,829 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0026, 'preprocessing_time': 0.0114, 'total_time': 0.0395, 'memory_usage_mb': 6.82, 'spectrum_length': 2, 'timestamp': '2025-09-24T03:39:06.829600'}
2025-09-23 23:39:07,134 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.0043, 'total_time': 0.0063, 'memory_usage_mb': 0.45, 'spectrum_length': 2, 'timestamp': '2025-09-24T03:39:07.134461'}
2025-09-24 11:05:20,859 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0691, 'preprocessing_time': 0.031, 'total_time': 0.1002, 'memory_usage_mb': 4.02, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:05:20.859930'}
2025-09-24 11:07:07,207 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.003, 'preprocessing_time': 0.0011, 'total_time': 0.0041, 'memory_usage_mb': 0.1, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:07:07.207059'}
2025-09-24 11:07:20,374 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet18vision', 'inference_time': 0.0073, 'preprocessing_time': 0.001, 'total_time': 0.0083, 'memory_usage_mb': 1.69, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:07:20.374719'}
2025-09-24 11:16:35,880 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet18vision', 'inference_time': 0.0102, 'preprocessing_time': 0.0, 'total_time': 0.0102, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:16:35.880943'}
2025-09-24 11:16:36,638 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet18vision', 'inference_time': 0.009, 'preprocessing_time': 0.0, 'total_time': 0.009, 'memory_usage_mb': 0.01, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:16:36.638074'}
2025-09-24 11:16:49,195 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet18vision', 'inference_time': 0.0112, 'preprocessing_time': 0.0, 'total_time': 0.0112, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:16:49.195558'}
2025-09-24 11:21:43,879 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet18vision', 'inference_time': 0.0094, 'preprocessing_time': 0.0, 'total_time': 0.0094, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:21:43.879177'}
2025-09-24 11:21:53,184 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet18vision', 'inference_time': 0.0055, 'preprocessing_time': 0.0019, 'total_time': 0.0074, 'memory_usage_mb': 0.01, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:21:53.184039'}
2025-09-24 11:27:37,343 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.002, 'total_time': 0.004, 'memory_usage_mb': 1.57, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:27:37.343531'}
2025-09-24 11:27:46,551 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.002, 'memory_usage_mb': 0.01, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:27:46.551908'}
2025-09-24 11:33:56,046 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.002, 'memory_usage_mb': 0.12, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:33:56.046282'}
2025-09-24 11:35:46,318 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0162, 'total_time': 0.0162, 'memory_usage_mb': 0.01, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:35:46.318726'}
2025-09-24 11:37:56,462 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:37:56.462403'}
2025-09-24 11:37:59,226 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.002, 'total_time': 0.004, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:37:59.226056'}
2025-09-24 11:38:00,363 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.0, 'total_time': 0.006, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:38:00.363584'}
2025-09-24 11:38:03,641 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.001, 'total_time': 0.003, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:38:03.641458'}
2025-09-24 11:40:50,502 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:40:50.502223'}
2025-09-24 11:40:54,968 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:40:54.968017'}
2025-09-24 11:41:02,407 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'hybrid_net', 'inference_time': 0.0247, 'preprocessing_time': 0.001, 'total_time': 0.0267, 'memory_usage_mb': 5.29, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:41:02.407558'}
2025-09-24 11:42:42,486 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'hybrid_net', 'inference_time': 0.0078, 'preprocessing_time': 0.0, 'total_time': 0.0078, 'memory_usage_mb': 0.07, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:42:42.486826'}
2025-09-24 11:43:02,176 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0158, 'preprocessing_time': 0.0, 'total_time': 0.0158, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:43:02.176440'}
2025-09-24 11:43:40,750 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.0057, 'total_time': 0.0077, 'memory_usage_mb': 1.57, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:43:40.750937'}
2025-09-24 11:43:52,226 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0021, 'preprocessing_time': 0.0, 'total_time': 0.0043, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:43:52.226844'}
2025-09-24 11:43:52,346 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0037, 'preprocessing_time': 0.002, 'total_time': 0.0057, 'memory_usage_mb': 2.5, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:43:52.346441'}
2025-09-24 11:47:35,183 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.002, 'total_time': 0.004, 'memory_usage_mb': 0.01, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:47:35.183532'}
2025-09-24 11:51:46,644 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.002, 'total_time': 0.002, 'memory_usage_mb': 0.01, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:51:46.644525'}
2025-09-24 11:53:15,491 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 1.57, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:53:15.491093'}
2025-09-24 11:55:23,391 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.001, 'preprocessing_time': 0.001, 'total_time': 0.002, 'memory_usage_mb': 0.01, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:55:23.391290'}
2025-09-24 11:57:43,330 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.001, 'preprocessing_time': 0.001, 'total_time': 0.003, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:57:43.330497'}
2025-09-24 11:59:53,522 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.002, 'total_time': 0.004, 'memory_usage_mb': 1.56, 'spectrum_length': 1414, 'timestamp': '2025-09-24T15:59:53.522425'}
2025-09-24 12:01:13,603 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.01, 'spectrum_length': 1414, 'timestamp': '2025-09-24T16:01:13.603482'}
